code,name,pop,cases,area,lng,lat,density,location,duration,pop_rel,den_rel,pop_test,dur_rel,combo,combo2
16550,Randwick,156619,128,36.3311,151.24020901452275,-33.94323039472664,4310.879659575405,"151.24020901452275,-33.94323039472664",743.6,0.3630650470582781,0.46348507513210424,0.16827523061364696,0.39488962002359995,0.14337061847669386,0.0664501418764067
14220,Inverell,17780,0,9408.4666,151.07422748538636,-29.417251320651523,1.8897872263265516,"151.07422748538636,-29.417251320651523",32110.8,0.041216560804858825,0.0002031808456151435,8.374415677679196e-06,0.050261563302918755,0.0020716087800220118,4.2091122370862815e-07
18020,Warrumbungle Shire,9209,0,12372.1201,149.40470890698666,-31.461387790370384,0.7443348371634382,"149.40470890698666,-31.461387790370384",23778.2,0.021347767629468217,8.002730652892267e-05,1.708404343791666e-06,0.07775746043530463,0.0016599481968304517,1.3284118316988304e-07
11250,Broken Hill,17269,2,170.1153,141.47927205136557,-31.94402940763503,101.51350290067973,"141.47927205136557,-31.94402940763503",52468.1,0.040031990356530205,0.010914244245797101,0.00043691892039656485,0.005322157323039867,0.00021305655063186854,2.32535123176325e-06
12380,Cumberland,242674,214,71.5511,150.9876147017707,-33.84255859420105,3391.6180184511486,"150.9876147017707,-33.84255859420105",1993.2,0.5625527377254392,0.36465047884358204,0.20513512518634944,0.3046476849855291,0.17138038923032656,0.062493940997238054
17750,Wagga Wagga,65770,6,4824.4889,147.36554149295995,-35.196523658119574,13.632532142420308,"147.36554149295995,-35.196523658119574",19624.6,0.15246418470953685,0.0014657043766544932,0.00022346742281182722,0.09532869973600633,0.014534212484670446,2.130285885000785e-05
15350,Mosman,30785,10,8.6503,151.24463544386703,-33.829080984816656,3558.8361097302986,"151.24463544386703,-33.829080984816656",1501.7,0.07136399462191108,0.38262896484186604,0.02730593138916233,0.3305620825625424,0.023590230682201,0.009026305546311396
15950,North Sydney,75094,28,10.4857,151.2118731996128,-33.83295160149614,7161.562890412658,"151.2118731996128,-33.83295160149614",1129.4,0.17407853864342343,0.7699768438103719,0.13403644375978505,0.356638266314518,0.06208306822435536,0.04780252492545314
10550,Bega Valley,34727,1,6278.8811,149.71769601243236,-36.82457797356941,5.530762479321356,"149.71769601243236,-36.82457797356941",22627.4,0.08050210950901757,0.0005946410166129675,4.786985623793065e-05,0.08229774312614735,0.0066251419294861115,3.939581132154819e-06
17150,Sutherland Shire,232369,89,333.5933,151.05102241612386,-34.07513057244234,696.5637499314284,"151.05102241612386,-34.07513057244234",1764.4,0.538664286707775,0.0748911886821417,0.04034120873216325,0.31580725463999393,0.170114089557793,0.012740046378563427
11650,Central Coast,345809,39,1681.0695,151.2855391866272,-33.30790056407867,205.7077354624541,"151.2855391866272,-33.30790056407867",6680.4,0.8016342899531735,0.022116707668768748,0.017729511248155343,0.19395537511519967,0.15548127941307452,0.0034387340047451215
15990,Northern Beaches,274041,161,254.2074,151.2496730789337,-33.690202997876334,1078.021332187812,"151.2496730789337,-33.690202997876334",2618.6,0.6352658908618851,0.1159036757227158,0.0736296518121581,0.2796709633313885,0.17766542366891613,0.020592075652060973
17400,Tenterfield,6470,3,7322.793,152.08728495901101,-28.943362456504623,0.8835426592012092,"152.08728495901101,-28.943362456504623",34246.5,0.014998377300755714,9.499426291631294e-05,1.4247597966260484e-06,0.04436816291481649,0.0006654504475378151,6.321397477118533e-08
18350,Wingecarribee,51760,14,2689.3413,150.3562699109851,-34.476852406398315,19.246348538952642,"150.3562699109851,-34.476852406398315",5412.0,0.11998701840604571,0.002069274951524333,0.0002482861316957195,0.21322656440070065,0.02558441970740476,5.2941198849818176e-05
10600,Bellingen,13141,0,1600.4337,152.7285532911987,-30.40381637322741,8.21089933309952,"152.7285532911987,-30.40381637322741",25121.7,0.030462701098799203,0.0008827964579921972,2.689236463089495e-05,0.07272705032029148,0.0022154623957043682,1.9558023557427235e-06
12750,Eurobodalla,38952,7,3428.1695,149.94732013369696,-35.94473717292726,11.362331996711365,"149.94732013369696,-35.94473717292726",18700.6,0.09029625851917103,0.0012216233611332993,0.00011030801882995103,0.09974273798130273,0.009006396054169651,1.1002423819392413e-05
15700,Nambucca Valley,19861,0,1491.3432,152.76886867968702,-30.68751749147799,13.317524765593861,"152.76886867968702,-30.68751749147799",23779.4,0.046040613843942695,0.001431836296530458,6.592262201629985e-05,0.07775284167208552,0.003579788558693705,5.125671192242101e-06
17950,Warren,2716,0,10753.7673,147.67860395109426,-31.323928922201866,0.25256265308995485,"147.67860395109426,-31.323928922201866",29088.2,0.006296073067828829,2.7154323360186515e-05,1.7096560398318554e-07,0.059309597625287425,0.0003734175602723368,1.0139901180006972e-08
12730,Edward River,9083,0,8883.4464,144.94064527823255,-35.172544172401174,1.0224635339725807,"144.94064527823255,-35.172544172401174",33628.6,0.021055681765496777,0.00010993036811187495,2.314658847327554e-06,0.04603458146990269,0.0009692894976381059,1.0655435128233133e-07
16350,Penrith,216282,100,404.7016,150.71807677940083,-33.76532148762778,534.4233875032863,"150.71807677940083,-33.76532148762778",3127.2,0.5013723399323102,0.05745863570074953,0.02880817063060297,0.26342563966420185,0.13207432935660648,0.007588810775922061
17650,Uralla,5944,0,3226.5327,151.31173603369325,-30.50745196532619,1.8422252469345808,"151.31173603369325,-30.50745196532619",26212.3,0.013779034725763828,0.0001980672100389441,2.7291749651617687e-06,0.068837583035248,0.0009485154470803333,1.8786980828204333e-07
