code,pop,cases
11300,40866,26
14500,127603,107
16260,260296,137
16550,156619,171
12850,210825,229
14000,152419,85
10500,181472,115
17420,183791,140
17150,232369,162
16700,133224,94
11570,380406,316
15990,274041,292
17200,248736,248
13310,31554,13
12380,242674,279
10900,79195,39
14900,231296,187
18500,59431,143
18250,81196,36
10750,382831,244
14170,201880,104
11520,96550,51
14700,40534,48
16350,216282,152
16150,42503,14
11650,345809,140
14100,14962,31
18050,74276,292
13800,67749,27
11500,174078,116
11450,107806,82
18350,51760,34
15950,75094,70
11800,77648,20
11720,61256,24
12930,160272,105
11350,35773,21
18450,219798,84
15350,30785,50
14650,207775,65
15240,94395,41
16950,107191,37
15900,167363,68
10470,43996,9
14400,23685,7
17550,98382,18
15050,87395,34
12700,9664,5
17100,47767,40
14920,7853,2
11730,51730,8
16380,85952,26
16490,62239,17
16900,74622,31
10550,34727,10
12750,38952,18
16400,74506,46
17310,62545,13
17400,6470,3
10050,55055,11
10250,45217,15
10850,7382,3
15270,25367,6
15700,19861,3
18020,9209,2
14870,21516,7
12390,54044,8
14850,43667,6
14200,0,5
14350,29921,4
17750,65770,19
17000,23380,5
11400,13677,5
12160,11225,2
13450,27155,3
12870,12598,7
15850,6460,1
18400,54005,16
17620,14167,3
18100,3596,1
17040,20997,11
13340,10841,3
13010,8873,3
18710,17321,8
15650,16355,1
17950,2716,1
17640,8274,3
15560,3916,3
10130,0,5
10600,13141,1
13850,2943,1
10650,8784,5
15800,5858,1
16610,23490,2
17650,5944,1
11250,17269,2
13910,18617,2
13550,12690,1
16200,14728,2
15300,13077,1
17080,14412,1
14300,6676,1
17350,6274,1
12150,3907,1
89399,431380,124
