code,name,area,location
10050,Albury,305.9459,"146.9704426335616,-36.02659569023541"
10180,Armidale Regional,7809.4405,"151.8985872377223,-30.367126070532596"
10250,Ballina,484.9389,"153.4861843625708,-28.852851817084314"
10300,Balranald,21690.6753,"143.61375806756456,-33.94919658686935"
10470,Bathurst Regional,3817.8646,"149.52602874931048,-33.42947032743892"
10500,Bayside,49.8904,"151.16670158265117,-33.949412728797164"
10550,Bega Valley,6278.8811,"149.71769601243236,-36.82457797356941"
10600,Bellingen,1600.4337,"152.7285532911987,-30.40381637322741"
10650,Berrigan,2065.7759,"145.71114848907192,-35.73428434722171"
10750,Blacktown,240.0487,"150.8643419805705,-33.74131370024443"
10800,Bland,8557.6535,"146.96076367212353,-33.89445920853121"
10850,Blayney,1524.647,"149.14205441150543,-33.59431680526526"
10900,Blue Mountains,1431.1442,"150.41114130523147,-33.6974646158696"
10950,Bogan,14599.8996,"146.8668238372305,-31.53661473895192"
11150,Bourke,41599.5072,"145.35711759425647,-29.909398810465976"
11200,Brewarrina,19163.4798,"146.96210924642259,-29.78912802688174"
11250,Broken Hill,170.1153,"141.47927205136557,-31.94402940763503"
11300,Burwood,7.1281,"151.10315264986312,-33.88368552616633"
11350,Byron,565.8029,"153.48247399625245,-28.604126965411886"
11400,Cabonne,6022.3498,"148.75383268309142,-33.1525926811698"
11450,Camden,201.0281,"150.72402859544212,-34.00877010128209"
11500,Campbelltown,311.9111,"150.8457815886208,-34.08331652185667"
11520,Canada Bay,19.9233,"151.1148230522239,-33.85349892703472"
11570,Canterbury-Bankstown,110.2368,"151.03732186098173,-33.923508740166035"
11600,Carrathool,18934.4852,"145.49499142232625,-33.60759626225653"
11650,Central Coast,1681.0695,"151.2855391866272,-33.30790056407867"
11700,Central Darling,53492.1931,"143.58820683390348,-31.845014397210424"
11720,Cessnock,1965.1589,"151.22517196508952,-32.92508585821628"
11730,Clarence Valley,10428.6803,"152.75145556946865,-29.68108914166177"
11750,Cobar,45575.3513,"145.48032662288716,-31.86541864490046"
11800,Coffs Harbour,1173.7437,"153.03996213661637,-30.18893738213105"
12000,Coolamon,2430.9037,"147.10451388733728,-34.63234184019418"
12150,Coonamble,9916.0536,"148.29107014019323,-30.870331161818516"
12160,Cootamundra-Gundagai Regional,3981.4173,"148.09383137554534,-34.85244434951401"
12350,Cowra,2808.7822,"148.71790261398883,-33.79637086814372"
12380,Cumberland,71.5511,"150.9876147017707,-33.84255859420105"
12390,Dubbo Regional,7534.5251,"148.85385023327424,-32.42406261858918"
12700,Dungog,2249.9983,"151.6080480513078,-32.34938368727571"
12730,Edward River,8883.4464,"144.94064527823255,-35.172544172401174"
12750,Eurobodalla,3428.1695,"149.94732013369696,-35.94473717292726"
12850,Fairfield,101.507,"150.89540649888585,-33.865636205006965"
12870,Federation,5685.0486,"146.27135296134614,-35.49582391427449"
12900,Forbes,4710.128,"147.86696910689417,-33.42167859117785"
12930,Georges River,38.3459,"151.08636246449547,-33.97103877838801"
12950,Gilgandra,4831.5057,"148.69087707522525,-31.618862256167265"
13010,Glen Innes Severn,5479.977,"151.9030034708038,-29.64485217839121"
13310,Goulburn Mulwaree,3220.0796,"149.81352611308455,-34.875830468068024"
13340,Greater Hume Shire,5749.5185,"147.171973471523,-35.75053219250594"
13450,Griffith,1639.1728,"146.00354422602518,-34.30034467085488"
13550,Gunnedah,4987.0295,"150.18893214573106,-31.046349632366887"
13660,Gwydir,9259.6542,"150.5165090392623,-29.59171292995305"
13800,Hawkesbury,2775.1377,"150.77341618769472,-33.334559378303254"
13850,Hay,11325.9324,"144.68420874137928,-34.31489332351629"
13910,Hilltops,7140.8863,"148.50100245494085,-34.3519115101432"
14000,Hornsby,455.0375,"151.0893990562516,-33.58386001730368"
14100,Hunters Hill,5.7169,"151.14512857899192,-33.83335217239887"
14170,Inner West,35.3713,"151.1549751286719,-33.891501324556366"
14220,Inverell,9408.4666,"151.07422748538636,-29.417251320651523"
14300,Junee,2030.0222,"147.66890968756823,-34.81709371625933"
14350,Kempsey,3375.6707,"152.64438320614647,-30.951435853061295"
14400,Kiama,257.6636,"150.7561991375902,-34.67886238309487"
14500,Ku-ring-gai,85.4096,"151.15090618099936,-33.73460181503594"
14550,Kyogle,3584.1644,"152.77576238908344,-28.617650365433708"
14600,Lachlan,14968.2538,"146.99127555816057,-32.91862717689199"
14650,Lake Macquarie,648.6398,"151.5302602461765,-33.038822256976715"
14700,Lane Cove,10.4794,"151.16689398487057,-33.81999352190564"
14750,Leeton,1167.1877,"146.3020352565878,-34.5323192675627"
14850,Lismore,1287.7043,"153.27059612238435,-28.756033600388346"
14870,Lithgow,4512.2563,"150.17909465312513,-33.277332566687605"
14900,Liverpool,305.7396,"150.8251515954656,-33.93599677012223"
14920,Liverpool Plains,5082.2397,"150.43848862483787,-31.550653364651403"
14950,Lockhart,2895.8049,"146.77540228457485,-35.3312939930566"
15050,Maitland,391.5087,"151.54970728552627,-32.71081144780645"
15240,Mid-Coast,10053.8633,"152.09558705960933,-32.014709868466575"
15270,Mid-Western Regional,8752.259,"149.74233660480937,-32.59340599949931"
15300,Moree Plains,17906.5241,"149.6290667698298,-29.25223407217712"
15350,Mosman,8.6503,"151.24463544386703,-33.829080984816656"
15520,Murray River,11863.4771,"144.20785011400943,-35.323594418940395"
15560,Murrumbidgee,6880.7902,"145.72891199656357,-34.948785963098786"
15650,Muswellbrook,3404.884,"150.63079525643218,-32.43978828664431"
15700,Nambucca Valley,1491.3432,"152.76886867968702,-30.68751749147799"
15750,Narrabri,13014.9937,"149.56461913405167,-30.35617454653674"
15800,Narrandera,4116.3459,"146.57961831153148,-34.61061501474328"
15850,Narromine,5261.5165,"148.06542925564403,-32.225789291117984"
15900,Newcastle,186.7549,"151.69568778704053,-32.88004907543234"
15950,North Sydney,10.4857,"151.2118731996128,-33.83295160149614"
15990,Northern Beaches,254.2074,"151.2496730789337,-33.690202997876334"
16100,Oberon,3625.047,"149.81138439670198,-33.88313440029394"
16150,Orange,284.2157,"149.12034922908254,-33.32463689714988"
16200,Parkes,5957.6138,"147.9609662497922,-32.88070953189364"
16260,Parramatta,83.8294,"151.02930457574845,-33.79934121733334"
