code,name,pop,cases,area,lng,lat,density,location,duration
16550,Randwick,156619,128,36.3311,151.24020901452275,-33.94323039472664,4310.879659575405,"151.24020901452275,-33.94323039472664",743.6
14220,Inverell,17780,0,9408.4666,151.07422748538636,-29.417251320651523,1.8897872263265516,"151.07422748538636,-29.417251320651523",32110.8
18020,Warrumbungle Shire,9209,0,12372.1201,149.40470890698666,-31.461387790370384,0.7443348371634382,"149.40470890698666,-31.461387790370384",23778.2
11250,Broken Hill,17269,2,170.1153,141.47927205136557,-31.94402940763503,101.51350290067973,"141.47927205136557,-31.94402940763503",52468.1
12380,Cumberland,242674,214,71.5511,150.9876147017707,-33.84255859420105,3391.6180184511486,"150.9876147017707,-33.84255859420105",1993.2
17750,Wagga Wagga,65770,6,4824.4889,147.36554149295995,-35.196523658119574,13.632532142420308,"147.36554149295995,-35.196523658119574",19624.6
15350,Mosman,30785,10,8.6503,151.24463544386703,-33.829080984816656,3558.8361097302986,"151.24463544386703,-33.829080984816656",1501.7
15950,North Sydney,75094,28,10.4857,151.2118731996128,-33.83295160149614,7161.562890412658,"151.2118731996128,-33.83295160149614",1129.4
10550,Bega Valley,34727,1,6278.8811,149.71769601243236,-36.82457797356941,5.530762479321356,"149.71769601243236,-36.82457797356941",22627.4
17150,Sutherland Shire,232369,89,333.5933,151.05102241612386,-34.07513057244234,696.5637499314284,"151.05102241612386,-34.07513057244234",1764.4
11650,Central Coast,345809,39,1681.0695,151.2855391866272,-33.30790056407867,205.7077354624541,"151.2855391866272,-33.30790056407867",6680.4
15990,Northern Beaches,274041,161,254.2074,151.2496730789337,-33.690202997876334,1078.021332187812,"151.2496730789337,-33.690202997876334",2618.6
17400,Tenterfield,6470,3,7322.793,152.08728495901101,-28.943362456504623,0.8835426592012092,"152.08728495901101,-28.943362456504623",34246.5
18350,Wingecarribee,51760,14,2689.3413,150.3562699109851,-34.476852406398315,19.246348538952642,"150.3562699109851,-34.476852406398315",5412.0
10600,Bellingen,13141,0,1600.4337,152.7285532911987,-30.40381637322741,8.21089933309952,"152.7285532911987,-30.40381637322741",25121.7
12750,Eurobodalla,38952,7,3428.1695,149.94732013369696,-35.94473717292726,11.362331996711365,"149.94732013369696,-35.94473717292726",18700.6
15700,Nambucca Valley,19861,0,1491.3432,152.76886867968702,-30.68751749147799,13.317524765593861,"152.76886867968702,-30.68751749147799",23779.4
17950,Warren,2716,0,10753.7673,147.67860395109426,-31.323928922201866,0.25256265308995485,"147.67860395109426,-31.323928922201866",29088.2
12730,Edward River,9083,0,8883.4464,144.94064527823255,-35.172544172401174,1.0224635339725807,"144.94064527823255,-35.172544172401174",33628.6
16350,Penrith,216282,100,404.7016,150.71807677940083,-33.76532148762778,534.4233875032863,"150.71807677940083,-33.76532148762778",3127.2
17650,Uralla,5944,0,3226.5327,151.31173603369325,-30.50745196532619,1.8422252469345808,"151.31173603369325,-30.50745196532619",26212.3
10300,Balranald,2306,0,21690.6753,143.61375806756456,-33.94919658686935,0.10631296481580728,"143.61375806756456,-33.94919658686935",40547.8
15800,Narrandera,5858,0,4116.3459,146.57961831153148,-34.61061501474328,1.4231068385190855,"146.57961831153148,-34.61061501474328",24183.5
11450,Camden,107806,50,201.0281,150.72402859544212,-34.00877010128209,536.2732871673164,"150.72402859544212,-34.00877010128209",2746.7
13450,Griffith,27155,0,1639.1728,146.00354422602518,-34.30034467085488,16.566282700640226,"146.00354422602518,-34.30034467085488",26513.3
10850,Blayney,7382,0,1524.647,149.14205441150543,-33.59431680526526,4.841776489902253,"149.14205441150543,-33.59431680526526",13795.5
11750,Cobar,4417,0,45575.3513,145.48032662288716,-31.86541864490046,0.096916422452239,"145.48032662288716,-31.86541864490046",37815.7
18710,Yass Valley,17321,0,3995.3257,148.88480452474886,-34.954021455151434,4.335316142060709,"148.88480452474886,-34.954021455151434",12010.3
13850,Hay,2943,0,11325.9324,144.68420874137928,-34.31489332351629,0.25984615624228874,"144.68420874137928,-34.31489332351629",32122.7
14550,Kyogle,8788,0,3584.1644,152.77576238908344,-28.617650365433708,2.451896458767349,"152.77576238908344,-28.617650365433708",36506.0
14500,Ku-ring-gai,127603,41,85.4096,151.15090618099936,-33.73460181503594,1494.0123826829772,"151.15090618099936,-33.73460181503594",2327.6
14950,Lockhart,3259,0,2895.8049,146.77540228457485,-35.3312939930566,1.1254211221204853,"146.77540228457485,-35.3312939930566",24001.8
14350,Kempsey,29921,1,3375.6707,152.64438320614647,-30.951435853061295,8.863720030511269,"152.64438320614647,-30.951435853061295",21232.0
10180,Armidale Regional,29704,0,7809.4405,151.8985872377223,-30.367126070532596,3.8036015512250847,"151.8985872377223,-30.367126070532596",26927.9
16490,Queanbeyan-Palerang Regional,62239,0,5318.8822,149.62729037113962,-35.422362710076754,11.701518789041803,"149.62729037113962,-35.422362710076754",14154.5
12350,Cowra,12730,0,2808.7822,148.71790261398883,-33.79637086814372,4.532213284461856,"148.71790261398883,-33.79637086814372",16969.4
12900,Forbes,9920,0,4710.128,147.86696910689417,-33.42167859117785,2.1060998766912493,"147.86696910689417,-33.42167859117785",21420.3
15520,Murray River,12330,0,11863.4771,144.20785011400943,-35.323594418940395,1.0393242972585162,"144.20785011400943,-35.323594418940395",34568.7
17640,Upper Lachlan Shire,8274,0,7127.3957,149.4557816140465,-34.4173983543572,1.1608728276444649,"149.4557816140465,-34.4173983543572",10772.7
11600,Carrathool,2796,0,18934.4852,145.49499142232625,-33.60759626225653,0.14766707256450787,"145.49499142232625,-33.60759626225653",31270.1
