date,code,cases,recent
2020-01-25,11300,1,1.0
2020-01-25,14500,1,1.0
2020-01-25,16260,1,1.0
2020-01-27,16550,1,1.0
2020-03-01,12850,1,1.0
2020-03-01,14000,1,1.0
2020-03-02,14000,1,2.0
2020-03-02,14500,1,1.0
2020-03-02,10500,1,1.0
2020-03-03,11570,2,2.0
2020-03-03,16700,1,1.0
2020-03-03,17150,1,1.0
2020-03-03,17420,2,2.0
2020-03-04,15990,1,1.0
2020-03-04,16700,4,5.0
2020-03-04,17200,1,1.0
2020-03-05,17150,1,2.0
2020-03-05,16700,1,6.0
2020-03-05,13310,1,1.0
2020-03-05,14000,1,3.0
2020-03-06,12380,1,1.0
2020-03-06,14000,2,5.0
2020-03-06,15990,1,2.0
2020-03-06,16260,2,2.0
2020-03-06,17150,1,3.0
2020-03-07,12850,1,2.0
2020-03-08,10900,1,1.0
2020-03-08,14000,1,6.0
2020-03-08,14900,1,1.0
2020-03-08,16260,3,5.0
2020-03-08,18500,1,1.0
2020-03-09,17200,2,3.0
2020-03-09,18250,1,1.0
2020-03-09,16260,3,8.0
2020-03-09,16700,1,7.0
2020-03-09,14170,1,1.0
2020-03-09,14700,1,1.0
2020-03-09,11520,1,1.0
2020-03-09,10750,3,3.0
2020-03-10,10900,1,2.0
2020-03-10,11520,1,2.0
2020-03-10,14500,1,2.0
2020-03-10,14700,1,2.0
2020-03-10,16350,1,1.0
2020-03-10,18500,1,2.0
2020-03-11,17200,1,4.0
2020-03-11,16700,1,8.0
2020-03-11,16150,2,2.0
2020-03-11,15990,1,3.0
2020-03-11,18500,1,3.0
2020-03-11,14000,3,9.0
2020-03-11,11650,1,1.0
2020-03-11,10750,2,5.0
2020-03-11,10500,3,4.0
2020-03-11,14100,1,1.0
2020-03-12,18050,2,2.0
2020-03-12,17150,1,4.0
2020-03-12,16700,1,9.0
2020-03-12,16260,1,9.0
2020-03-12,16150,1,3.0
2020-03-12,14900,1,2.0
2020-03-12,14170,1,2.0
2020-03-12,13800,1,1.0
2020-03-12,12380,1,2.0
2020-03-12,11500,1,1.0
2020-03-12,11450,1,1.0
2020-03-12,10750,1,6.0
2020-03-12,14000,1,10.0
2020-03-13,17150,1,5.0
2020-03-13,18500,4,7.0
2020-03-13,18350,1,1.0
2020-03-13,18050,2,4.0
2020-03-13,17200,2,6.0
2020-03-13,15950,1,1.0
2020-03-13,16700,1,10.0
2020-03-13,11800,2,2.0
2020-03-13,11720,1,1.0
2020-03-13,10900,1,3.0
2020-03-13,10750,1,7.0
2020-03-13,10500,1,5.0
2020-03-13,12930,1,1.0
2020-03-14,17200,3,9.0
2020-03-14,18500,1,8.0
2020-03-14,18250,1,2.0
2020-03-14,18050,4,8.0
2020-03-14,17420,1,3.0
2020-03-14,17150,1,6.0
2020-03-14,16550,1,1.0
2020-03-14,16260,1,10.0
2020-03-14,15990,2,5.0
2020-03-14,14100,1,2.0
2020-03-14,12380,1,3.0
2020-03-14,11520,1,3.0
2020-03-14,11350,1,1.0
2020-03-14,16350,1,2.0
2020-03-15,17150,1,7.0
2020-03-15,16260,3,13.0
2020-03-15,16550,1,2.0
2020-03-15,17200,2,11.0
2020-03-15,16700,1,11.0
2020-03-15,18350,1,2.0
2020-03-15,18450,1,1.0
2020-03-15,18500,4,12.0
2020-03-15,15990,1,6.0
2020-03-15,18050,2,10.0
2020-03-15,15350,2,2.0
2020-03-15,15950,1,2.0
2020-03-15,14650,1,1.0
2020-03-15,14700,2,4.0
2020-03-15,11570,1,3.0
2020-03-15,11720,2,3.0
2020-03-15,11800,1,3.0
2020-03-15,12380,2,5.0
2020-03-15,11650,1,2.0
2020-03-15,13800,1,2.0
2020-03-15,14000,1,10.0
2020-03-15,14100,1,3.0
2020-03-15,14170,2,4.0
2020-03-15,12850,1,2.0
2020-03-16,16550,3,5.0
2020-03-16,18450,1,2.0
2020-03-16,18350,1,3.0
2020-03-16,18050,5,15.0
2020-03-16,17420,2,5.0
2020-03-16,17150,1,8.0
2020-03-16,18500,1,13.0
2020-03-16,16700,1,12.0
2020-03-16,16260,1,14.0
2020-03-16,14900,2,4.0
2020-03-16,15350,2,4.0
2020-03-16,15240,2,2.0
2020-03-16,14500,2,3.0
2020-03-16,14170,1,5.0
2020-03-16,14000,1,10.0
2020-03-16,11570,1,4.0
2020-03-16,10500,1,5.0
2020-03-16,15950,1,3.0
2020-03-17,16700,1,12.0
2020-03-17,16150,1,4.0
2020-03-17,16260,1,15.0
2020-03-17,16350,3,5.0
2020-03-17,16550,1,6.0
2020-03-17,16950,1,1.0
2020-03-17,15990,7,13.0
2020-03-17,17200,5,16.0
2020-03-17,18050,3,18.0
2020-03-17,18250,3,5.0
2020-03-17,18350,1,4.0
2020-03-17,18500,4,17.0
2020-03-17,17150,7,14.0
2020-03-17,15950,1,4.0
2020-03-17,15900,3,3.0
2020-03-17,15350,4,8.0
